#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR SDensityCAR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin RadiusIso
100 2.7 0.644292 0 0 0.644292 2.82725 6.54659e+08 0 3.18736e+08 141152 815.753 48506.9 9671.34 1.03012 0 0 1.53959e+09 0 0 0 0 0 0 0 0 10 89.1015
101 2.82725 0.514495 0 0 0.514495 2.96049 6.98773e+08 0 3.1998e+08 151776 757.699 48576.8 9588.32 1.10808 0 0 1.32248e+09 0 0 0 0 0 0 0 0 10 93.3007
102 2.96049 0.407753 0 0 0.407753 3.10001 7.45289e+08 0 3.2106e+08 163098 703.246 48622.3 9488.79 1.1932 0 0 1.12788e+09 0 0 0 0 0 0 0 0 10 97.6978
103 3.10001 0.320623 0 0 0.320623 3.24611 7.94286e+08 0 3.21991e+08 175154 652.214 48643.4 9373.28 1.28622 0 0 9.54722e+08 0 0 0 0 0 0 0 0 10 102.302
104 3.24611 0.250052 0 0 0.250052 3.3991 8.45843e+08 0 3.22787e+08 187982 604.429 48640.1 9242.39 1.38796 0 0 8.01827e+08 0 0 0 0 0 0 0 0 10 107.124
105 3.3991 0.193356 0 0 0.193356 3.55929 9.00036e+08 0 3.23462e+08 201622 559.723 48612.3 9096.82 1.49934 0 0 6.67901e+08 0 0 0 0 0 0 0 0 10 112.172
106 3.55929 0.148189 0 0 0.148189 3.72704 9.56941e+08 0 3.24029e+08 216112 517.934 48560.2 8937.34 1.62137 0 0 5.51573e+08 0 0 0 0 0 0 0 0 10 117.459
107 3.72704 0.112523 0 0 0.112523 3.90269 1.01663e+09 0 3.245e+08 231496 478.905 48483.9 8764.82 1.75518 0 0 4.51417e+08 0 0 0 0 0 0 0 0 10 122.994
108 3.90269 0.0846178 0 0 0.0846178 4.08662 1.07917e+09 0 3.24889e+08 247816 442.487 48383.5 8580.18 1.90204 0 0 3.65974e+08 0 0 0 0 0 0 0 0 10 128.791
109 4.08662 0.0629932 0 0 0.0629932 4.27921 1.14463e+09 0 3.25207e+08 265116 408.534 48259.5 8384.43 2.06334 0 0 2.93784e+08 0 0 0 0 0 0 0 0 10 134.861
110 4.27921 0.0464031 0 0 0.0464031 4.48088 1.21308e+09 0 3.25463e+08 283441 376.908 48112.1 8178.58 2.24064 0 0 2.33405e+08 0 0 0 0 0 0 0 0 10 141.216
111 4.48088 0.0338081 0 0 0.0338081 4.69206 1.28457e+09 0 3.25668e+08 302838 347.475 47941.6 7963.72 2.43569 0 0 1.83435e+08 0 0 0 0 0 0 0 0 10 147.872
112 4.69206 0.0243502 0 0 0.0243502 4.91319 1.35917e+09 0 3.25829e+08 323355 320.107 47748.7 7740.97 2.65043 0 0 1.42535e+08 0 0 0 0 0 0 0 0 10 154.841
113 4.91319 0.0173291 0 0 0.0173291 5.14474 1.43691e+09 0 3.25955e+08 345041 294.683 47533.6 7511.39 2.88702 0 0 1.09446e+08 0 0 0 0 0 0 0 0 10 162.138
114 5.14474 0.0121787 0 0 0.0121787 5.38721 1.51787e+09 0 3.26052e+08 367945 271.085 47297.1 7276.18 3.14788 0 0 8.29987e+07 0 0 0 0 0 0 0 0 10 169.779
115 5.38721 0.00844778 0 0 0.00844778 5.6411 1.60206e+09 0 3.26126e+08 392120 249.202 47039.8 7036.44 3.43569 0 0 6.2127e+07 0 0 0 0 0 0 0 0 10 177.781
116 5.6411 0.00578016 0 0 0.00578016 5.90696 1.68955e+09 0 3.26181e+08 417619 228.927 46762.2 6793.25 3.75348 0 0 4.58735e+07 0 0 0 0 0 0 0 0 10 186.159
117 5.90696 0.00389876 0 0 0.00389876 6.18534 1.78035e+09 0 3.26222e+08 444494 210.158 46465.2 6547.7 4.10461 0 0 3.33915e+07 0 0 0 0 0 0 0 0 10 194.933
118 6.18534 0.00259071 0 0 0.00259071 6.47685 1.87451e+09 0 3.26252e+08 472803 192.798 46149.4 6300.88 4.4928 0 0 2.39447e+07 0 0 0 0 0 0 0 0 10 204.12
119 6.47685 0.00169483 0 0 0.00169483 6.78209 1.97205e+09 0 3.26273e+08 502601 176.756 45815.7 6053.79 4.92224 0 0 1.69034e+07 0 0 0 0 0 0 0 0 10 213.74
120 6.78209 0.00109077 0 0 0.00109077 7.10172 2.07298e+09 0 3.26288e+08 533947 161.945 45464.8 5807.37 5.39763 0 0 1.17385e+07 0 0 0 0 0 0 0 0 10 223.813
121 7.10172 0.000690109 0 0 0.000690109 7.43642 2.17733e+09 0 3.26299e+08 566901 148.281 45097.8 5562.58 5.92415 0 0 8.0129e+06 0 0 0 0 0 0 0 0 10 234.361
122 7.43642 0.000428883 0 0 0.000428883 7.78689 2.2851e+09 0 3.26306e+08 601523 135.687 44715.4 5320.21 6.50768 0 0 5.37218e+06 0 0 0 0 0 0 0 0 10 245.406
123 7.78689 0.000261601 0 0 0.000261601 8.15387 2.39631e+09 0 3.26311e+08 637877 124.089 44318.6 5153.54 7.05413 0 0 3.5345e+06 0 0 0 0 0 0 0 0 10 256.971
124 8.15387 0.000156475 0 0 0.000156475 8.53815 2.51094e+09 0 3.26314e+08 676026 113.416 43908.4 4998.05 7.63291 0 0 2.28001e+06 0 0 0 0 0 0 0 0 10 269.082
125 8.53815 9.16979e-05 0 0 9.16979e-05 8.94054 2.629e+09 0 3.26316e+08 716038 103.603 43485.7 4843.97 8.26015 0 0 1.44069e+06 0 0 0 0 0 0 0 0 10 281.764
126 8.94054 5.25985e-05 0 0 5.25985e-05 9.36189 2.75048e+09 0 3.26317e+08 757981 94.5882 43051.5 4691.58 8.93991 0 0 890865 0 0 0 0 0 0 0 0 10 295.043
127 9.36189 2.95021e-05 0 0 2.95021e-05 9.80311 2.87537e+09 0 3.26318e+08 801924 86.3125 42606.9 4541.13 9.67666 0 0 538534 0 0 0 0 0 0 0 0 10 308.948
128 9.80311 1.61639e-05 0 0 1.61639e-05 10.2651 3.00364e+09 0 3.26318e+08 847940 78.7215 42152.8 4392.86 10.4752 0 0 317916 0 0 0 0 0 0 0 0 10 323.508
129 10.2651 8.64126e-06 0 0 8.64126e-06 10.7489 3.13528e+09 0 3.26318e+08 896103 71.7639 41690.3 4246.98 11.3407 0 0 183072 0 0 0 0 0 0 0 0 10 338.754
