#z i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter SDensitySFR  SDensityOFR SDensityCAR MetallicityCold MetallicityStar MassProfStar MassStar MassBin RadiusIso
3 144 20.4816 2.75636e-58 0 0 2.75636e-58 21.4469 0 0 6.64116e-47 0 0 0 0 10 675.904
3 145 21.4469 4.85301e-61 0 0 4.85301e-61 22.4576 0 0 1.20181e-49 0 0 0 0 10 707.758
3 146 22.4576 6.34831e-64 0 0 6.34831e-64 23.516 0 0 1.61504e-52 0 0 0 0 10 741.114
3 147 23.516 6.08402e-67 0 0 6.08402e-67 24.6243 0 0 1.58926e-55 0 0 0 0 10 776.041
3 148 24.6243 4.20952e-70 0 0 4.20952e-70 25.7848 0 0 1.12847e-58 0 0 0 0 10 812.615
3 149 25.7848 2.07066e-73 0 0 2.07066e-73 27 0 0 5.69365e-62 0 0 0 0 10 850.912
3 150 27 7.12576e-77 0 0 7.12576e-77 28.2725 0 0 2.00865e-65 0 0 0 0 10 891.015
3 151 28.2725 1.68686e-80 0 0 1.68686e-80 29.6049 0 0 4.872e-69 0 0 0 0 10 933.007
3 152 29.6049 2.69888e-84 0 0 2.69888e-84 31.0001 0 0 7.98237e-73 0 0 0 0 10 976.978
3 153 31.0001 2.86499e-88 0 0 2.86499e-88 32.4611 0 0 8.67256e-77 0 0 0 0 10 1023.02
3 154 32.4611 1.9792e-92 0 0 1.9792e-92 33.991 0 0 6.12838e-81 0 0 0 0 10 1071.24
3 155 33.991 8.71933e-97 0 0 8.71933e-97 35.5929 0 0 2.76009e-85 0 0 0 0 10 1121.72
3 156 35.5929 2.3982e-101 0 0 2.3982e-101 37.2704 0 0 7.7564e-90 0 0 0 0 10 1174.59
3 157 37.2704 4.02758e-106 0 0 4.02758e-106 39.0269 0 0 1.33016e-94 0 0 0 0 10 1229.94
3 158 39.0269 4.0351e-111 0 0 4.0351e-111 40.8662 0 0 1.36001e-99 0 0 0 0 10 1287.91
3 159 40.8662 2.3536e-116 0 0 2.3536e-116 42.7921 0 0 8.09082e-105 0 0 0 0 10 1348.61
3 160 42.7921 7.79101e-122 0 0 7.79101e-122 44.8088 0 0 2.73005e-110 0 0 0 0 10 1412.16
3 161 44.8088 1.42507e-127 0 0 1.42507e-127 46.9206 0 0 5.0871e-116 0 0 0 0 10 1478.72
3 162 46.9206 1.40056e-133 0 0 1.40056e-133 49.1319 0 0 5.09022e-122 0 0 0 0 10 1548.41
3 163 49.1319 7.18245e-140 0 0 7.18245e-140 51.4474 0 0 2.6561e-128 0 0 0 0 10 1621.38
3 164 51.4474 1.86388e-146 0 0 1.86388e-146 53.8721 0 0 7.0092e-135 0 0 0 0 10 1697.79
3 165 53.8721 2.3702e-153 0 0 2.3702e-153 56.411 0 0 9.05843e-142 0 0 0 0 10 1777.81
3 166 56.411 1.42811e-160 0 0 1.42811e-160 59.0696 0 0 5.54353e-149 0 0 0 0 10 1861.59
3 167 59.0696 3.93595e-168 0 0 3.93595e-168 61.8534 0 0 1.55085e-156 0 0 0 0 10 1949.33
3 168 61.8534 4.78216e-176 0 0 4.78216e-176 64.7685 0 0 1.91153e-164 0 0 0 0 10 2041.2
3 169 64.7685 2.46439e-184 0 0 2.46439e-184 67.8209 0 0 9.9872e-173 0 0 0 0 10 2137.4
3 170 67.8209 5.17292e-193 0 0 5.17292e-193 71.0172 0 0 2.12418e-181 0 0 0 0 10 2238.13
3 171 71.0172 4.23943e-202 0 0 4.23943e-202 74.3642 0 0 1.7629e-190 0 0 0 0 10 2343.61
3 172 74.3642 1.29766e-211 0 0 1.29766e-211 77.8689 0 0 5.46123e-200 0 0 0 0 10 2454.06
3 173 77.8689 1.4162e-221 0 0 1.4162e-221 81.5387 0 0 6.02853e-210 0 0 0 0 10 2569.71
3 174 81.5387 5.24897e-232 0 0 5.24897e-232 85.3815 0 0 2.25876e-220 0 0 0 0 10 2690.82
3 175 85.3815 6.27903e-243 0 0 6.27903e-243 89.4054 0 0 2.72992e-231 0 0 0 0 10 2817.64
3 176 89.4054 2.29836e-254 0 0 2.29836e-254 93.6189 0 0 1.00901e-242 0 0 0 0 10 2950.43
3 177 93.6189 2.43444e-266 0 0 2.43444e-266 98.0311 0 0 1.07858e-254 0 0 0 0 10 3089.48
3 178 98.0311 7.03781e-279 0 0 7.03781e-279 102.651 0 0 3.14509e-267 0 0 0 0 10 3235.08
3 179 102.651 5.22326e-292 0 0 5.22326e-292 107.489 0 0 2.35314e-280 0 0 0 0 10 3387.54
3 180 107.489 9.33393e-306 0 0 9.33393e-306 112.555 0 0 4.23694e-294 0 0 0 0 10 3547.19
3 181 112.555 3.75539e-320 0 0 3.75539e-320 117.859 0 0 1.71693e-308 0 0 0 0 10 3714.37
3 182 117.859 0 0 0 0 123.414 0 0 0 0 0 0 0 10 3889.42
3 183 123.414 0 0 0 0 129.23 0 0 0 0 0 0 0 10 4072.72
3 184 129.23 0 0 0 0 135.321 0 0 0 0 0 0 0 10 4264.66
3 185 135.321 0 0 0 0 141.698 0 0 0 0 0 0 0 10 4465.65
3 186 141.698 0 0 0 0 148.376 0 0 0 0 0 0 0 10 4676.11
3 187 148.376 0 0 0 0 155.369 0 0 0 0 0 0 0 10 4896.49
3 188 155.369 0 0 0 0 162.691 0 0 0 0 0 0 0 10 5127.25
3 189 162.691 0 0 0 0 170.358 0 0 0 0 0 0 0 10 5368.89
3 190 170.358 0 0 0 0 178.387 0 0 0 0 0 0 0 10 5621.92
3 191 178.387 0 0 0 0 186.794 0 0 0 0 0 0 0 10 5886.88
3 192 186.794 0 0 0 0 195.598 0 0 0 0 0 0 0 10 6164.32
3 193 195.598 0 0 0 0 204.816 0 0 0 0 0 0 0 10 6454.83
3 194 204.816 0 0 0 0 214.469 0 0 0 0 0 0 0 10 6759.04
3 195 214.469 0 0 0 0 224.576 0 0 0 0 0 0 0 10 7077.58
3 196 224.576 0 0 0 0 235.16 0 0 0 0 0 0 0 10 7411.14
3 197 235.16 0 0 0 0 246.243 0 0 0 0 0 0 0 10 7760.41
3 198 246.243 0 0 0 0 257.848 0 0 0 0 0 0 0 10 8126.15
3 199 257.848 0 0 0 0 270 0 0 0 0 0 0 0 10 8509.12
2.5 0 0.027 271.161 0 0 271.161 0.0282725 0 0 9.74287e+11 0 0 0 0 10 0.891015
2.5 1 0.0282725 267.854 0 0 267.854 0.0296049 0 0 9.67956e+11 0 0 0 0 10 0.933007
2.5 2 0.0296049 264.445 0 0 264.445 0.0310001 0 0 9.6137e+11 0 0 0 0 10 0.976978
2.5 3 0.0310001 260.934 0 0 260.934 0.0324611 0 0 9.54523e+11 0 0 0 0 10 1.02302
2.5 4 0.0324611 257.319 0 0 257.319 0.033991 0 0 9.47405e+11 0 0 0 0 10 1.07124
2.5 5 0.033991 253.6 0 0 253.6 0.0355929 0 0 9.40008e+11 0 0 0 0 10 1.12172
2.5 6 0.0355929 249.777 0 0 249.777 0.0372704 0 0 9.32325e+11 0 0 0 0 10 1.17459
2.5 7 0.0372704 245.85 0 0 245.85 0.0390269 0 0 9.24347e+11 0 0 0 0 10 1.22994
2.5 8 0.0390269 241.82 0 0 241.82 0.0408662 0 0 9.16065e+11 0 0 0 0 10 1.28791
2.5 9 0.0408662 237.688 0 0 237.688 0.0427921 0 0 9.07474e+11 0 0 0 0 10 1.34861
2.5 10 0.0427921 233.453 0 0 233.453 0.0448088 0 0 8.98563e+11 0 0 0 0 10 1.41216
2.5 11 0.0448088 229.119 0 0 229.119 0.0469206 0 0 8.89327e+11 0 0 0 0 10 1.47872
2.5 12 0.0469206 224.686 0 0 224.686 0.0491319 0 0 8.79757e+11 0 0 0 0 10 1.54841
2.5 13 0.0491319 220.156 0 0 220.156 0.0514474 0 0 8.69846e+11 0 0 0 0 10 1.62138
2.5 14 0.0514474 215.532 0 0 215.532 0.0538721 0 0 8.59588e+11 0 0 0 0 10 1.69779
2.5 15 0.0538721 210.817 0 0 210.817 0.056411 0 0 8.48976e+11 0 0 0 0 10 1.77781
2.5 16 0.056411 206.014 0 0 206.014 0.0590696 0 0 8.38004e+11 0 0 0 0 10 1.86159
2.5 17 0.0590696 201.127 0 0 201.127 0.0618534 0 0 8.26667e+11 0 0 0 0 10 1.94933
2.5 18 0.0618534 196.16 0 0 196.16 0.0647685 0 0 8.1496e+11 0 0 0 0 10 2.0412
2.5 19 0.0647685 191.117 0 0 191.117 0.0678209 0 0 8.02879e+11 0 0 0 0 10 2.1374
2.5 20 0.0678209 186.004 0 0 186.004 0.0710172 0 0 7.90421e+11 0 0 0 0 10 2.23813
2.5 21 0.0710172 180.825 0 0 180.825 0.0743642 0 0 7.77583e+11 0 0 0 0 10 2.34361
2.5 22 0.0743642 175.587 0 0 175.587 0.0778689 0 0 7.64363e+11 0 0 0 0 10 2.45406
2.5 23 0.0778689 170.296 0 0 170.296 0.0815387 0 0 7.50761e+11 0 0 0 0 10 2.56971
2.5 24 0.0815387 164.959 0 0 164.959 0.0853815 0 0 7.36777e+11 0 0 0 0 10 2.69082
2.5 25 0.0853815 159.582 0 0 159.582 0.0894054 0 0 7.22413e+11 0 0 0 0 10 2.81764
2.5 26 0.0894054 154.175 0 0 154.175 0.0936189 0 0 7.07672e+11 0 0 0 0 10 2.95043
2.5 27 0.0936189 148.743 0 0 148.743 0.0980311 0 0 6.92559e+11 0 0 0 0 10 3.08948
2.5 28 0.0980311 143.296 0 0 143.296 0.102651 0 0 6.77079e+11 0 0 0 0 10 3.23508
2.5 29 0.102651 137.843 0 0 137.843 0.107489 0 0 6.61241e+11 0 0 0 0 10 3.38754
2.5 30 0.107489 132.392 0 0 132.392 0.112555 0 0 6.45053e+11 0 0 0 0 10 3.54719
2.5 31 0.112555 126.952 0 0 126.952 0.117859 0 0 6.28527e+11 0 0 0 0 10 3.71437
2.5 32 0.117859 121.533 0 0 121.533 0.123414 0 0 6.11675e+11 0 0 0 0 10 3.88942
2.5 33 0.123414 116.144 0 0 116.144 0.12923 0 0 5.94514e+11 0 0 0 0 10 4.07272
