#z i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic SDensitySFR  SDensityOFR SDensityCAR StellarAge MetallicityCold MetallicityStar MassProfStar MassStar MassHalo
3 56 0.415263 0.434834 0.413815 359.971 150.802 351.266 8.70444 2.16926e+14 1.48644e+13 1.61855e+13 -0.213318 0.00232682 0.00127174 1.23441e+08 6.87816e+08 1.53804e+11
3 57 0.434834 0.455327 0.433317 354.417 144.898 345.704 8.71304 2.12386e+14 1.45534e+13 1.58648e+13 -0.221294 0.00232371 0.0012749 1.31745e+08 6.87816e+08 1.53804e+11
3 58 0.455327 0.476786 0.453739 348.692 139.041 339.97 8.72215 2.07732e+14 1.42344e+13 1.55357e+13 -0.229852 0.00232042 0.00127793 1.40482e+08 6.87816e+08 1.53804e+11
3 59 0.476786 0.499256 0.475123 342.795 133.238 334.063 8.73179 2.02965e+14 1.39078e+13 1.51985e+13 -0.239323 0.00231694 0.00128081 1.49662e+08 6.87816e+08 1.53804e+11
3 60 0.499256 0.522785 0.497515 336.725 127.488 327.983 8.74201 1.98087e+14 1.35735e+13 1.48532e+13 -0.249018 0.00231326 0.00128353 1.59294e+08 6.87816e+08 1.53804e+11
3 61 0.522785 0.547423 0.520962 330.483 121.809 321.731 8.75284 1.93101e+14 1.32319e+13 1.45001e+13 -0.257982 0.00230936 0.0012861 1.69384e+08 6.87816e+08 1.53804e+11
3 62 0.547423 0.573223 0.545514 324.07 116.198 315.306 8.76434 1.88012e+14 1.28832e+13 1.41393e+13 -0.266292 0.00230524 0.00128846 1.79938e+08 6.87816e+08 1.53804e+11
3 63 0.573223 0.600238 0.571224 317.486 110.664 308.709 8.77654 1.82823e+14 1.25276e+13 1.37711e+13 -0.274756 0.00230087 0.00129061 1.90959e+08 6.87816e+08 1.53804e+11
3 64 0.600238 0.628526 0.598145 310.733 105.211 301.944 8.78951 1.77538e+14 1.21654e+13 1.33959e+13 -0.283804 0.00229624 0.00129253 2.02449e+08 6.87816e+08 1.53804e+11
3 65 0.628526 0.658148 0.626334 303.815 99.849 295.011 8.80328 1.72163e+14 1.17972e+13 1.30139e+13 -0.293595 0.00229132 0.00129419 2.14404e+08 6.87816e+08 1.53804e+11
3 66 0.658148 0.689165 0.655852 296.733 94.5889 287.915 8.81794 1.66705e+14 1.14232e+13 1.26256e+13 -0.303184 0.00228611 0.00129559 2.26823e+08 6.87816e+08 1.53804e+11
3 67 0.689165 0.721645 0.686762 289.493 89.4324 280.659 8.83353 1.6117e+14 1.10439e+13 1.22313e+13 -0.312094 0.00228058 0.00129671 2.39697e+08 6.87816e+08 1.53804e+11
3 68 0.721645 0.755655 0.719128 282.099 84.3857 273.249 8.85014 1.55565e+14 1.06598e+13 1.18317e+13 -0.321373 0.0022747 0.00129751 2.53016e+08 6.87816e+08 1.53804e+11
3 69 0.755655 0.791268 0.753019 274.557 79.4548 265.689 8.86783 1.499e+14 1.02716e+13 1.14273e+13 -0.331078 0.00226845 0.00129795 2.66768e+08 6.87816e+08 1.53804e+11
3 70 0.791268 0.828559 0.788508 266.873 74.6514 257.986 8.8867 1.44182e+14 9.87978e+12 1.10186e+13 -0.340379 0.00226181 0.00129805 2.80934e+08 6.87816e+08 1.53804e+11
3 71 0.828559 0.867608 0.825669 259.056 69.9762 250.149 8.90683 1.38421e+14 9.48506e+12 1.06063e+13 -0.349921 0.00225474 0.00129774 2.95495e+08 6.87816e+08 1.53804e+11
3 72 0.867608 0.908497 0.864582 251.114 65.4356 242.185 8.92832 1.32629e+14 9.08816e+12 1.01911e+13 -0.359641 0.00224722 0.00129699 3.10424e+08 6.87816e+08 1.53804e+11
3 73 0.908497 0.951313 0.905328 243.056 61.0392 234.105 8.95126 1.26816e+14 8.68983e+12 9.77371e+12 -0.369363 0.00223922 0.0012958 3.25694e+08 6.87816e+08 1.53804e+11
3 74 0.951313 0.996147 0.947995 234.895 56.7877 225.919 8.97578 1.20994e+14 8.29089e+12 9.35498e+12 -0.379393 0.0022307 0.00129409 3.41271e+08 6.87816e+08 1.53804e+11
3 75 0.996147 1.04309 0.992673 226.641 52.6895 217.639 9.00198 1.15176e+14 7.8922e+12 8.93573e+12 -0.38948 0.00222163 0.00129185 3.57118e+08 6.87816e+08 1.53804e+11
3 76 1.04309 1.09225 1.03946 218.307 48.746 209.277 9.02996 1.09374e+14 7.49465e+12 8.51685e+12 -0.399698 0.00221197 0.001289 3.73193e+08 6.87816e+08 1.53804e+11
3 77 1.09225 1.14373 1.08844 209.908 44.9638 200.848 9.05984 1.03603e+14 7.09919e+12 8.09926e+12 -0.41003 0.0022017 0.00128553 3.89452e+08 6.87816e+08 1.53804e+11
3 78 1.14373 1.19763 1.13974 201.459 41.3436 192.368 9.0917 9.78764e+13 6.7068e+12 7.68391e+12 -0.420532 0.00219078 0.00128134 4.05844e+08 6.87816e+08 1.53804e+11
3 79 1.19763 1.25407 1.19346 192.977 37.8902 183.851 9.12561 9.22093e+13 6.31847e+12 7.2718e+12 -0.431241 0.0021792 0.00127639 4.22317e+08 6.87816e+08 1.53804e+11
3 80 1.25407 1.31318 1.2497 184.479 34.605 175.318 9.16161 8.66167e+13 5.93525e+12 6.86394e+12 -0.442103 0.00216694 0.00127057 4.38812e+08 6.87816e+08 1.53804e+11
3 81 1.31318 1.37507 1.3086 175.985 31.4884 166.785 9.19974 8.11141e+13 5.55819e+12 6.46135e+12 -0.453057 0.00215398 0.00126376 4.5527e+08 6.87816e+08 1.53804e+11
3 82 1.37507 1.43987 1.37027 167.515 28.5429 158.275 9.23988 7.57174e+13 5.18839e+12 6.06507e+12 -0.464152 0.00214036 0.00125587 4.71628e+08 6.87816e+08 1.53804e+11
3 83 1.43987 1.50773 1.43485 159.09 25.7682 149.808 9.28195 7.04428e+13 4.82696e+12 5.67614e+12 -0.475553 0.00212609 0.00124673 4.8782e+08 6.87816e+08 1.53804e+11
3 84 1.50773 1.57879 1.50247 150.736 23.163 141.41 9.32587 6.53068e+13 4.47503e+12 5.29559e+12 -0.487296 0.00211117 0.00123613 5.0378e+08 6.87816e+08 1.53804e+11
3 85 1.57879 1.65319 1.57328 142.478 20.7265 133.107 9.37154 6.03265e+13 4.13376e+12 4.92441e+12 -0.499386 0.00209562 0.00122383 5.19438e+08 6.87816e+08 1.53804e+11
3 86 1.65319 1.7311 1.64743 134.345 18.4568 124.926 9.41891 5.55191e+13 3.80434e+12 4.5636e+12 -0.511969 0.00207943 0.00120955 5.34727e+08 6.87816e+08 1.53804e+11
