#z i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter SDensitySFR  MetallicityCold MetallicityStar MassProfStar MassStar MassBin RadiusIso
3 170 67.8209 5.75416e-107 0 0 5.75416e-107 71.0172 0 0 0 0 0 10 2238.13
3 171 71.0172 7.51663e-112 0 0 7.51663e-112 74.3642 0 0 0 0 0 10 2343.61
3 172 74.3642 5.78525e-117 0 0 5.78525e-117 77.8689 0 0 0 0 0 10 2454.06
3 173 77.8689 2.55889e-122 0 0 2.55889e-122 81.5387 0 0 0 0 0 10 2569.71
3 174 81.5387 6.33692e-128 0 0 6.33692e-128 85.3815 0 0 0 0 0 10 2690.82
3 175 85.3815 8.54932e-134 0 0 8.54932e-134 89.4054 0 0 0 0 0 10 2817.64
3 176 89.4054 6.10642e-140 0 0 6.10642e-140 93.6189 0 0 0 0 0 10 2950.43
3 177 93.6189 2.24094e-146 0 0 2.24094e-146 98.0311 0 0 0 0 0 10 3089.48
3 178 98.0311 4.09488e-153 0 0 4.09488e-153 102.651 0 0 0 0 0 10 3235.08
3 179 102.651 3.60538e-160 0 0 3.60538e-160 107.489 0 0 0 0 0 10 3387.54
3 180 107.489 1.47782e-167 0 0 1.47782e-167 112.555 0 0 0 0 0 10 3547.19
3 181 112.555 2.72027e-175 0 0 2.72027e-175 117.859 0 0 0 0 0 10 3714.37
3 182 117.859 2.16542e-183 0 0 2.16542e-183 123.414 0 0 0 0 0 10 3889.42
3 183 123.414 7.16569e-192 0 0 7.16569e-192 129.23 0 0 0 0 0 10 4072.72
3 184 129.23 9.45796e-201 0 0 9.45796e-201 135.321 0 0 0 0 0 10 4264.66
3 185 135.321 4.76817e-210 0 0 4.76817e-210 141.698 0 0 0 0 0 10 4465.65
3 186 141.698 8.77451e-220 0 0 8.77451e-220 148.376 0 0 0 0 0 10 4676.11
3 187 148.376 5.62063e-230 0 0 5.62063e-230 155.369 0 0 0 0 0 10 4896.49
3 188 155.369 1.19244e-240 0 0 1.19244e-240 162.691 0 0 0 0 0 10 5127.25
3 189 162.691 7.95356e-252 0 0 7.95356e-252 170.358 0 0 0 0 0 10 5368.89
