#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin RadiusIso
79 1.02651 19.2804 0 0 19.2804 1.07489 1.42195e+08 0 2.40004e+08 26874.2 3257.65 42127.2 8643.36 0.252952 0 0 0 0 0 0 0 0 0 0 10 33.8754
80 1.07489 17.1461 0 0 17.1461 1.12555 1.53827e+08 0 2.46005e+08 29240.2 3070.36 42600.9 8698.93 0.271981 0 0 0 0 0 0 0 0 0 0 10 35.4719
81 1.12555 15.1941 0 0 15.1941 1.17859 1.66327e+08 0 2.51835e+08 31798.9 2892.05 43062.3 8748.39 0.292478 0 0 0 0 0 0 0 0 0 0 10 37.1437
82 1.17859 13.4151 0 0 13.4151 1.23414 1.79749e+08 0 2.57479e+08 34564.4 2722.4 43510.6 8791.5 0.314561 0 0 0 0 0 0 0 0 0 0 10 38.8942
83 1.23414 11.7997 0 0 11.7997 1.2923 1.94151e+08 0 2.62922e+08 37551.4 2561.08 43944.9 8828.1 0.338354 0 0 0 0 0 0 0 0 0 0 10 40.7272
84 1.2923 10.3383 0 0 10.3383 1.35321 2.09592e+08 0 2.68151e+08 40775.7 2407.77 44364.6 8857.94 0.363997 0 0 0 0 0 0 0 0 0 0 10 42.6466
85 1.35321 9.02141 0 0 9.02141 1.41698 2.26134e+08 0 2.73154e+08 44253.7 2262.16 44768.8 8916.89 0.390054 0 0 0 0 0 0 0 0 0 0 10 44.6565
86 1.41698 7.83945 0 0 7.83945 1.48376 2.43841e+08 0 2.7792e+08 48003.1 2123.95 45156.7 9072.66 0.413261 0 0 0 0 0 0 0 0 0 0 10 46.7611
87 1.48376 6.78297 0 0 6.78297 1.55369 2.6278e+08 0 2.82442e+08 52042.2 1992.84 45527.6 9216.29 0.43826 0 0 0 0 0 0 0 0 0 0 10 48.9649
88 1.55369 5.84267 0 0 5.84267 1.62691 2.83019e+08 0 2.86712e+08 56390.6 1868.56 45880.8 9346.87 0.465217 0 0 0 0 0 0 0 0 0 0 10 51.2725
89 1.62691 5.00946 0 0 5.00946 1.70358 3.0463e+08 0 2.90727e+08 61068.5 1750.82 46215.5 9463.66 0.494309 0 0 0 0 0 0 0 0 0 0 10 53.6889
90 1.70358 4.27452 0 0 4.27452 1.78387 3.27683e+08 0 2.94482e+08 66097.6 1639.36 46531.1 9565.88 0.525733 0 0 0 0 0 0 0 0 0 0 10 56.2192
91 1.78387 3.62931 0 0 3.62931 1.86794 3.52254e+08 0 2.97978e+08 71500.4 1533.92 46826.9 9652.86 0.559709 0 0 0 0 0 0 0 0 0 0 10 58.8688
92 1.86794 3.06564 0 0 3.06564 1.95598 3.7842e+08 0 3.01216e+08 77300.6 1434.24 47102.2 9723.96 0.596478 0 0 0 0 0 0 0 0 0 0 10 61.6432
93 1.95598 2.5757 0 0 2.5757 2.04816 4.06257e+08 0 3.04199e+08 83522.8 1340.08 47356.5 9778.76 0.6363 0 0 0 0 0 0 0 0 0 0 10 64.5483
94 2.04816 2.15208 0 0 2.15208 2.14469 4.35844e+08 0 3.06931e+08 90193 1251.19 47589.3 9816.75 0.679472 0 0 0 0 0 0 0 0 0 0 10 67.5904
95 2.14469 1.78781 0 0 1.78781 2.24576 4.67262e+08 0 3.09419e+08 97338.2 1167.35 47799.9 9837.61 0.726318 0 0 0 0 0 0 0 0 0 0 10 70.7758
96 2.24576 1.47633 0 0 1.47633 2.3516 5.00591e+08 0 3.11672e+08 104987 1088.33 47988 9841.09 0.777197 0 0 0 0 0 0 0 0 0 0 10 74.1114
97 2.3516 1.21157 0 0 1.21157 2.46243 5.35913e+08 0 3.13698e+08 113168 1013.9 48153.1 9827.1 0.832503 0 0 0 0 0 0 0 0 0 0 10 77.6041
98 2.46243 0.98788 0 0 0.98788 2.57848 5.73311e+08 0 3.1551e+08 121912 943.866 48294.8 9795.63 0.892676 0 0 0 0 0 0 0 0 0 0 10 81.2615
99 2.57848 0.800097 0 0 0.800097 2.7 6.12865e+08 0 3.17119e+08 131251 878.012 48412.8 9746.7 0.958205 0 0 0 0 0 0 0 0 0 0 10 85.0912
100 2.7 0.643494 0 0 0.643494 2.82725 6.54659e+08 0 3.18537e+08 141219 816.141 48506.9 9680.54 1.02963 0 0 0 0 0 0 0 0 0 0 10 89.1015
101 2.82725 0.513792 0 0 0.513792 2.96049 6.98773e+08 0 3.19779e+08 151848 758.059 48576.8 9597.44 1.10755 0 0 0 0 0 0 0 0 0 0 10 93.3007
102 2.96049 0.407137 0 0 0.407137 3.10001 7.45289e+08 0 3.20858e+08 163176 703.58 48622.3 9497.81 1.19263 0 0 0 0 0 0 0 0 0 0 10 97.6978
103 3.10001 0.320088 0 0 0.320088 3.24611 7.94286e+08 0 3.21787e+08 175238 652.524 48643.4 9382.19 1.28561 0 0 0 0 0 0 0 0 0 0 10 102.302
104 3.24611 0.249591 0 0 0.249591 3.3991 8.45843e+08 0 3.22582e+08 188072 604.717 48640.1 9251.18 1.3873 0 0 0 0 0 0 0 0 0 0 10 107.124
105 3.3991 0.192961 0 0 0.192961 3.55929 9.00036e+08 0 3.23255e+08 201717 559.989 48612.3 9105.47 1.49862 0 0 0 0 0 0 0 0 0 0 10 112.172
106 3.55929 0.147854 0 0 0.147854 3.72704 9.56941e+08 0 3.23821e+08 216215 518.18 48560.2 8945.83 1.6206 0 0 0 0 0 0 0 0 0 0 10 117.459
107 3.72704 0.112242 0 0 0.112242 3.90269 1.01663e+09 0 3.24291e+08 231606 479.133 48483.9 8773.15 1.75435 0 0 0 0 0 0 0 0 0 0 10 122.994
108 3.90269 0.0843838 0 0 0.0843838 4.08662 1.07917e+09 0 3.24679e+08 247934 442.697 48383.5 8588.33 1.90114 0 0 0 0 0 0 0 0 0 0 10 128.791
109 4.08662 0.0628004 0 0 0.0628004 4.27921 1.14463e+09 0 3.24996e+08 265242 408.728 48259.5 8392.4 2.06236 0 0 0 0 0 0 0 0 0 0 10 134.861
110 4.27921 0.0462459 0 0 0.0462459 4.48088 1.21308e+09 0 3.25251e+08 283576 377.087 48112.1 8186.35 2.23958 0 0 0 0 0 0 0 0 0 0 10 141.216
111 4.48088 0.0336814 0 0 0.0336814 4.69206 1.28457e+09 0 3.25455e+08 302982 347.64 47941.6 7971.29 2.43454 0 0 0 0 0 0 0 0 0 0 10 147.872
112 4.69206 0.0242493 0 0 0.0242493 4.91319 1.35917e+09 0 3.25616e+08 323509 320.259 47748.7 7748.33 2.64917 0 0 0 0 0 0 0 0 0 0 10 154.841
113 4.91319 0.0172496 0 0 0.0172496 5.14474 1.43691e+09 0 3.25741e+08 345205 294.823 47533.6 7518.53 2.88565 0 0 0 0 0 0 0 0 0 0 10 162.138
114 5.14474 0.0121171 0 0 0.0121171 5.38721 1.51787e+09 0 3.25838e+08 368120 271.214 47297.1 7283.09 3.14639 0 0 0 0 0 0 0 0 0 0 10 169.779
115 5.38721 0.00840052 0 0 0.00840052 5.6411 1.60206e+09 0 3.25911e+08 392307 249.32 47039.8 7043.13 3.43406 0 0 0 0 0 0 0 0 0 0 10 177.781
116 5.6411 0.00574446 0 0 0.00574446 5.90696 1.68955e+09 0 3.25966e+08 417817 229.035 46762.2 6799.71 3.7517 0 0 0 0 0 0 0 0 0 0 10 186.159
117 5.90696 0.00387219 0 0 0.00387219 6.18534 1.78035e+09 0 3.26007e+08 444706 210.257 46465.2 6553.92 4.10266 0 0 0 0 0 0 0 0 0 0 10 194.933
118 6.18534 0.00257125 0 0 0.00257125 6.47685 1.87451e+09 0 3.26036e+08 473028 192.89 46149.4 6306.87 4.49066 0 0 0 0 0 0 0 0 0 0 10 204.12
119 6.47685 0.0016808 0 0 0.0016808 6.78209 1.97205e+09 0 3.26057e+08 502840 176.84 45815.7 6059.55 4.9199 0 0 0 0 0 0 0 0 0 0 10 213.74
120 6.78209 0.00108083 0 0 0.00108083 7.10172 2.07298e+09 0 3.26072e+08 534201 162.022 45464.8 5812.89 5.39506 0 0 0 0 0 0 0 0 0 0 10 223.813
121 7.10172 0.000683193 0 0 0.000683193 7.43642 2.17733e+09 0 3.26082e+08 567170 148.352 45097.8 5567.86 5.92134 0 0 0 0 0 0 0 0 0 0 10 234.361
122 7.43642 0.000424161 0 0 0.000424161 7.78689 2.2851e+09 0 3.2609e+08 601809 135.752 44715.4 5325.27 6.50459 0 0 0 0 0 0 0 0 0 0 10 245.406
123 7.78689 0.00025844 0 0 0.00025844 8.15387 2.39631e+09 0 3.26094e+08 638180 124.148 44318.6 5158.43 7.05078 0 0 0 0 0 0 0 0 0 0 10 256.971
124 8.15387 0.000154402 0 0 0.000154402 8.53815 2.51094e+09 0 3.26097e+08 676348 113.47 43908.4 5002.8 7.62929 0 0 0 0 0 0 0 0 0 0 10 269.082
125 8.53815 9.03676e-05 0 0 9.03676e-05 8.94054 2.629e+09 0 3.26099e+08 716379 103.653 43485.7 4848.57 8.25622 0 0 0 0 0 0 0 0 0 0 10 281.764
126 8.94054 5.1764e-05 0 0 5.1764e-05 9.36189 2.75048e+09 0 3.261e+08 758341 94.6331 43051.5 4696.04 8.93566 0 0 0 0 0 0 0 0 0 0 10 295.043
127 9.36189 2.8991e-05 0 0 2.8991e-05 9.80311 2.87537e+09 0 3.26101e+08 802305 86.3535 42606.9 4545.45 9.67206 0 0 0 0 0 0 0 0 0 0 10 308.948
128 9.80311 1.58585e-05 0 0 1.58585e-05 10.2651 3.00364e+09 0 3.26102e+08 848342 78.759 42152.8 4397.04 10.4702 0 0 0 0 0 0 0 0 0 0 10 323.508
129 10.2651 8.46345e-06 0 0 8.46345e-06 10.7489 3.13528e+09 0 3.26102e+08 896529 71.798 41690.3 4251.01 11.3354 0 0 0 0 0 0 0 0 0 0 10 338.754
130 10.7489 4.40169e-06 0 0 4.40169e-06 11.2555 3.27025e+09 0 3.26102e+08 946942 65.4226 41220.4 4107.6 12.2731 0 0 0 0 0 0 0 0 0 0 10 354.719
131 11.2555 2.2282e-06 0 0 2.2282e-06 11.7859 3.40854e+09 0 3.26102e+08 999662 59.5877 40744.1 3966.97 13.2896 0 0 0 0 0 0 0 0 0 0 10 371.437
132 11.7859 1.09648e-06 0 0 1.09648e-06 12.3414 3.5501e+09 0 3.26102e+08 1.05477e+06 54.2512 40262.4 3829.28 14.3916 0 0 0 0 0 0 0 0 0 0 10 388.942
133 12.3414 5.23826e-07 0 0 5.23826e-07 12.923 3.69489e+09 0 3.26102e+08 1.11236e+06 49.374 39776.4 3698.51 15.57 0 0 0 0 0 0 0 0 0 0 10 407.272
134 12.923 2.42609e-07 0 0 2.42609e-07 13.5321 3.84289e+09 0 3.26102e+08 1.17251e+06 44.9196 39287.1 3620.38 16.6149 0 0 0 0 0 0 0 0 0 0 10 426.466
135 13.5321 1.08775e-07 0 0 1.08775e-07 14.1698 3.99403e+09 0 3.26102e+08 1.23532e+06 40.8538 38795.5 3543.44 17.7265 0 0 0 0 0 0 0 0 0 0 10 446.565
136 14.1698 4.714e-08 0 0 4.714e-08 14.8376 4.14828e+09 0 3.26102e+08 1.30089e+06 37.1451 38302.6 3467.73 18.9092 0 0 0 0 0 0 0 0 0 0 10 467.611
137 14.8376 1.97151e-08 0 0 1.97151e-08 15.5369 4.30558e+09 0 3.26102e+08 1.36933e+06 33.7643 37809.3 3393.26 20.1677 0 0 0 0 0 0 0 0 0 0 10 489.649
138 15.5369 7.94377e-09 0 0 7.94377e-09 16.2691 4.46589e+09 0 3.26102e+08 1.44073e+06 30.6841 37316.6 3320.11 21.5069 0 0 0 0 0 0 0 0 0 0 10 512.725
139 16.2691 3.07832e-09 0 0 3.07832e-09 17.0358 4.62915e+09 0 3.26102e+08 1.51522e+06 27.8794 36825.5 3248.24 22.9324 0 0 0 0 0 0 0 0 0 0 10 536.889
