#i RadiusInner SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic RadiusOuter MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR SDensityCAR MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassBin RadiusIso
59 0.408662 75.0077 0 0 75.0077 0.427921 2.70844e+07 0 6.35361e+07 4539.4 9498.36 31235.2 9307.4 0.0432151 0 0 1.11454e+10 0 0 0 0 0 0 0 0 10 13.4861
60 0.427921 71.5587 0 0 71.5587 0.448088 2.95171e+07 0 6.75071e+07 4979.09 9043.56 31800.9 9219.63 0.0476915 0 0 1.09863e+10 0 0 0 0 0 0 0 0 10 14.1216
61 0.448088 68.1651 0 0 68.1651 0.469206 3.216e+07 0 7.16547e+07 5459.56 8606.98 32367.8 9128.15 0.0526361 0 0 1.08221e+10 0 0 0 0 0 0 0 0 10 14.7872
62 0.469206 64.8315 0 0 64.8315 0.491319 3.503e+07 0 7.59801e+07 5984.37 8188.02 32935.6 9037.04 0.0580722 0 0 1.06528e+10 0 0 0 0 0 0 0 0 10 15.4841
63 0.491319 61.5626 0 0 61.5626 0.514474 3.81455e+07 0 8.04836e+07 6557.34 7786.08 33503.6 8946.29 0.0640459 0 0 1.04784e+10 0 0 0 0 0 0 0 0 10 16.2138
64 0.514474 58.3626 0 0 58.3626 0.538721 4.1526e+07 0 8.51648e+07 7182.63 7400.61 34071.5 8855.86 0.0706077 0 0 1.02988e+10 0 0 0 0 0 0 0 0 10 16.9779
65 0.538721 55.2359 0 0 55.2359 0.56411 4.51925e+07 0 9.00227e+07 7864.71 7031.05 34638.5 8765.77 0.0778118 0 0 1.0114e+10 0 0 0 0 0 0 0 0 10 17.7781
66 0.56411 52.1863 0 0 52.1863 0.590696 4.91673e+07 0 9.50552e+07 8608.39 6676.86 35204.2 8676.03 0.085717 0 0 9.92413e+09 0 0 0 0 0 0 0 0 10 18.6159
67 0.590696 49.2174 0 0 49.2174 0.618534 5.34744e+07 0 1.00259e+08 9418.86 6337.53 35767.8 8613.64 0.0940911 0 0 9.72908e+09 0 0 0 0 0 0 0 0 10 19.4933
68 0.618534 46.3328 0 0 46.3328 0.647685 5.81393e+07 0 1.05631e+08 10301.7 6012.55 36328.8 8576.34 0.102937 0 0 9.52896e+09 0 0 0 0 0 0 0 0 10 20.412
69 0.647685 43.5355 0 0 43.5355 0.678209 6.31892e+07 0 1.11165e+08 11262.9 5701.44 36886.6 8537.47 0.112582 0 0 9.32381e+09 0 0 0 0 0 0 0 0 10 21.374
70 0.678209 40.8284 0 0 40.8284 0.710172 6.86531e+07 0 1.16856e+08 12308.8 5403.71 37440.4 8497.09 0.123094 0 0 9.11372e+09 0 0 0 0 0 0 0 0 10 22.3813
