#z i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic SDensitySFR  SDensityOFR SDensityCAR StellarAge MetallicityCold MetallicityStar MassProfStar MassStar MassHalo
3 108 4.55327 4.76786 8.07463 9.86471 0.0060758 1.04616 8.81856 7.06661e+11 3.90831e+07 1.38616e+11 -2.74365 0.00152006 0.00184969 6.06214e+09 6.06214e+09 1.53804e+11
3 109 4.76786 4.99256 8.45518 7.59234 0 0 7.59234 0 0 1.11302e+11 nan 0.00148882 0 6.06214e+09 6.06214e+09 1.53804e+11
3 110 4.99256 5.22785 8.85366 5.77832 0 0 5.77832 0 0 8.84512e+10 nan 0.00149643 0 6.06214e+09 6.06214e+09 1.53804e+11
3 111 5.22785 5.47423 9.27092 4.35006 0 0 4.35006 0 0 6.95345e+10 nan 0.00150385 0 6.06214e+09 6.06214e+09 1.53804e+11
3 112 5.47423 5.73223 9.70784 3.2377 0 0 3.2377 0 0 5.4047e+10 nan 0.00151109 0 6.06214e+09 6.06214e+09 1.53804e+11
3 113 5.73223 6.00238 10.1654 2.38123 0 0 2.38123 0 0 4.15132e+10 nan 0.00151813 0 6.06214e+09 6.06214e+09 1.53804e+11
3 114 6.00238 6.28526 10.6444 1.7296 0 0 1.7296 0 0 3.1492e+10 nan 0.00152499 0 6.06214e+09 6.06214e+09 1.53804e+11
3 115 6.28526 6.58148 11.1461 1.24 0 0 1.24 0 0 2.35808e+10 nan 0.00153166 0 6.06214e+09 6.06214e+09 1.53804e+11
3 116 6.58148 6.89165 11.6714 0.876932 0 0 0.876932 0 0 1.74179e+10 nan 0.00153814 0 6.06214e+09 6.06214e+09 1.53804e+11
3 117 6.89165 7.21645 12.2214 0.611369 0 0 0.611369 0 0 1.26834e+10 nan 0.00154443 0 6.06214e+09 6.06214e+09 1.53804e+11
3 118 7.21645 7.55655 12.7974 0.4199 0 0 0.4199 0 0 9.0987e+09 nan 0.00155053 0 6.06214e+09 6.06214e+09 1.53804e+11
3 119 7.55655 7.91268 13.4006 0.283916 0 0 0.283916 0 0 6.42578e+09 nan 0.00155645 0 6.06214e+09 6.06214e+09 1.53804e+11
3 120 7.91268 8.28559 14.0321 0.188851 0 0 0.188851 0 0 4.4643e+09 nan 0.00156219 0 6.06214e+09 6.06214e+09 1.53804e+11
3 121 8.28559 8.67608 14.6934 0.123482 0 0 0.123482 0 0 3.04878e+09 nan 0.00156775 0 6.06214e+09 6.06214e+09 1.53804e+11
3 122 8.67608 9.08497 15.3859 0.0793037 0 0 0.0793037 0 0 2.045e+09 nan 0.00157314 0 6.06214e+09 6.06214e+09 1.53804e+11
3 123 9.08497 9.51313 16.111 0.0499832 0 0 0.0499832 0 0 1.34613e+09 nan 0.00157834 0 6.06214e+09 6.06214e+09 1.53804e+11
3 124 9.51313 9.96147 16.8703 0.0308898 0 0 0.0308898 0 0 8.68806e+08 nan 0.00158338 0 6.06214e+09 6.06214e+09 1.53804e+11
3 125 9.96147 10.4309 17.6654 0.0187011 0 0 0.0187011 0 0 5.49282e+08 nan 0.00158824 0 6.06214e+09 6.06214e+09 1.53804e+11
3 126 10.4309 10.9225 18.4979 0.0110805 0 0 0.0110805 0 0 3.39847e+08 nan 0.00159294 0 6.06214e+09 6.06214e+09 1.53804e+11
3 127 10.9225 11.4373 19.3697 0.00641876 0 0 0.00641876 0 0 2.05563e+08 nan 0.00159748 0 6.06214e+09 6.06214e+09 1.53804e+11
3 128 11.4373 11.9763 20.2826 0.0036315 0 0 0.0036315 0 0 1.21427e+08 nan 0.00160186 0 6.06214e+09 6.06214e+09 1.53804e+11
3 129 11.9763 12.5407 21.2384 0.00200439 0 0 0.00200439 0 0 6.99701e+07 nan 0.00160608 0 6.06214e+09 6.06214e+09 1.53804e+11
3 130 12.5407 13.1318 22.2394 0.00107803 0 0 0.00107803 0 0 3.92849e+07 nan 0.00161015 0 6.06214e+09 6.06214e+09 1.53804e+11
3 131 13.1318 13.7507 23.2875 0.000564299 0 0 0.000564299 0 0 2.14647e+07 nan 0.00161408 0 6.06214e+09 6.06214e+09 1.53804e+11
3 132 13.7507 14.3987 24.385 0.000287117 0 0 0.000287117 0 0 1.13986e+07 nan 0.00161787 0 6.06214e+09 6.06214e+09 1.53804e+11
3 133 14.3987 15.0773 25.5342 0.000141808 0 0 0.000141808 0 0 5.87525e+06 nan 0.00162151 0 6.06214e+09 6.06214e+09 1.53804e+11
3 134 15.0773 15.7879 26.7376 6.78938e-05 0 0 6.78938e-05 0 0 2.93518e+06 nan 0.00162502 0 6.06214e+09 6.06214e+09 1.53804e+11
