#i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic MassProfHalo MassProfStar MassProfCold MassProfHot DensityProfHot TemperatureProfHot CoolingRate CoolingTime SDensitySFR SDensityOFR SDensityCAR StellarAge MassProfDM MassProfDMContracted MassMetalCold MassMetalStar SDensityMetalCold SDensityMetalStar MetallicityCold MetallicityStar MassStar MassHalo
39 0.189812 0.198757 0.127672 682.644 5167.59 678.008 4.63504 1.82868e+07 6.89815e+08 1.21686e+07 413.258 12549.5 1.85672e+06 29.4271 1.80957 5.38465e+14 6.59231e+15 5.78242e+14 0.126391 0 0 85939.6 428829 7.86987 39.2698 0.0115285 0.00759924 2.7425e+10 9.98021e+11
40 0.198757 0.208125 0.133689 678.999 5093.57 674.364 4.63524 2.00417e+07 7.50804e+08 1.3425e+07 474.38 12546 1.85637e+06 33.7831 1.80925 5.34496e+14 6.54371e+15 5.74067e+14 0.0934315 0 0 93721.5 464443 7.82733 38.7889 0.0115277 0.00761526 2.7425e+10 9.98021e+11
41 0.208125 0.217933 0.13999 675.204 5017.52 670.568 4.63545 2.19645e+07 8.16678e+08 1.48098e+07 544.537 12542.2 1.856e+06 38.7835 1.80893 5.3037e+14 6.49321e+15 5.69728e+14 0.0591812 0 0 102182 502738 7.78303 38.2927 0.0115269 0.00763181 2.7425e+10 9.98021e+11
42 0.217933 0.228204 0.146587 671.252 4939.52 666.616 4.63567 2.40712e+07 8.87785e+08 1.63362e+07 625.063 12538.3 1.85562e+06 44.5238 1.80859 5.26085e+14 6.44074e+15 5.65219e+14 0.0237275 0 0 111376 543883 7.7369 37.7816 0.0115261 0.00764884 2.7425e+10 9.98021e+11
43 0.228204 0.238959 0.153495 667.138 4859.6 662.502 4.6359 2.63794e+07 9.6449e+08 1.80188e+07 717.488 12534.2 1.85522e+06 51.1135 1.80824 5.21635e+14 6.38626e+15 5.60536e+14 -0.013085 0 0 121364 588050 7.6889 37.2554 0.0115252 0.00766634 2.7425e+10 9.98021e+11
44 0.238959 0.250221 0.16073 662.857 4777.71 658.221 4.63613 2.89082e+07 1.04718e+09 1.98739e+07 823.571 12530 1.85479e+06 58.6782 1.80787 5.17015e+14 6.3297e+15 5.55673e+14 -0.0508631 0 0 132208 635410 7.63894 36.7137 0.0115243 0.00768438 2.7425e+10 9.98021e+11
45 0.250221 0.262013 0.168304 658.403 4693.93 653.767 4.63638 3.16785e+07 1.13626e+09 2.19191e+07 945.326 12525.5 1.85435e+06 67.362 1.80748 5.12222e+14 6.27102e+15 5.50627e+14 -0.0898527 0 0 143978 686146 7.58698 36.1569 0.0115233 0.0077029 2.7425e+10 9.98021e+11
46 0.262013 0.274362 0.176236 653.771 4608.23 649.134 4.63663 3.47134e+07 1.23214e+09 2.41742e+07 1085.07 12520.8 1.85389e+06 77.3305 1.80707 5.07251e+14 6.21016e+15 5.45392e+14 -0.129837 0 0 156744 740436 7.53295 35.5846 0.0115223 0.00772196 2.7425e+10 9.98021e+11
47 0.274362 0.287292 0.184542 648.955 4520.71 644.318 4.63689 3.8038e+07 1.33528e+09 2.66609e+07 1245.45 12515.9 1.8534e+06 88.7733 1.80665 5.02097e+14 6.14706e+15 5.39964e+14 -0.170942 0 0 170585 798468 7.47678 34.9971 0.0115213 0.00774149 2.7425e+10 9.98021e+11
48 0.287292 0.300832 0.193239 643.95 4431.34 639.312 4.63717 4.16797e+07 1.44614e+09 2.9403e+07 1429.52 12510.8 1.8529e+06 101.909 1.80621 4.96757e+14 6.08168e+15 5.34338e+14 -0.213413 0 0 185582 860420 7.41841 34.3942 0.0115202 0.00776158 2.7425e+10 9.98021e+11
