#z i RadiusInner RadiusOuter RadiusIso SDensityCold SDensityStar SDensityColdMolecular SDensityColdAtomic SDensitySFR  SDensityOFR SDensityCAR StellarAge MetallicityCold MetallicityStar MassProfStar MassStar MassHalo
3 119 7.55655 7.91268 171.172 7.23638e-14 0 0 7.23638e-14 0 0 0.0074857 nan 5.6578e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 120 7.91268 8.28559 179.239 1.24968e-14 0 0 1.24968e-14 0 0 0.00133978 nan 5.75942e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 121 8.28559 8.67608 187.686 1.99041e-15 0 0 1.99041e-15 0 0 0.000221115 nan 5.8598e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 122 8.67608 9.08497 196.531 2.91271e-16 0 0 2.91271e-16 0 0 3.3522e-05 nan 5.95879e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 123 9.08497 9.51313 205.794 3.90059e-17 0 0 3.90059e-17 0 0 4.64975e-06 nan 6.05627e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 124 9.51313 9.96147 215.492 4.76023e-18 0 0 4.76023e-18 0 0 5.87622e-07 nan 6.15211e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 125 9.96147 10.4309 225.648 5.27099e-19 0 0 5.27099e-19 0 0 6.73642e-08 nan 6.24621e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 126 10.4309 10.9225 236.283 5.27146e-20 0 0 5.27146e-20 0 0 6.97313e-09 nan 6.33845e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 127 10.9225 11.4373 247.418 4.73874e-21 0 0 4.73874e-21 0 0 6.48641e-10 nan 6.42873e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 128 11.4373 11.9763 259.079 3.80981e-22 0 0 3.80981e-22 0 0 5.39476e-11 nan 6.51698e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 129 11.9763 12.5407 271.289 2.72502e-23 0 0 2.72502e-23 0 0 3.99061e-12 nan 6.60312e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 130 12.5407 13.1318 284.074 1.72451e-24 0 0 1.72451e-24 0 0 2.611e-13 nan 6.68708e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 131 13.1318 13.7507 297.462 9.6003e-26 0 0 9.6003e-26 0 0 1.50233e-14 nan 6.76881e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 132 13.7507 14.3987 311.481 4.67308e-27 0 0 4.67308e-27 0 0 7.55578e-16 nan 6.84827e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 133 14.3987 15.0773 326.161 1.97638e-28 0 0 1.97638e-28 0 0 3.30065e-17 nan 6.92542e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
3 134 15.0773 15.7879 341.532 7.21454e-30 0 0 7.21454e-30 0 0 1.24405e-18 nan 7.00024e-06 0 1.50017e+06 1.50017e+06 1.53804e+11
